userId,movieId,rating,timestamp
1,2,3.5,1112486027
1,29,3.5,1112484676
1,32,3.5,1112484819
1,47,3.5,1112484727
1,50,3.5,1112484580
1,112,3.5,1094785740
1,151,4,1094785734
2,3,4,974820889
2,62,5,974820598
2,70,5,974820691
2,110,4,974820658
3,1,4,944919407
3,24,3,945176048
3,32,4,944918047
3,50,5,944918018
4,6,3,840879227
4,10,4,840878922
4,19,3,840878994
4,32,1,840879061
5,2,3,851527569
5,11,5,851527751
5,17,3,851526935
5,60,3,851617589
5,62,5,851526935
5,104,2,851526992
5,110,4,851527569
5,140,2,851527012
5,141,5,851526935
5,150,5,851527514
6,1,5,858275452
6,3,3,858275558
6,7,5,858275558
6,17,5,858275452
6,52,5,858275658
6,62,5,858275452
6,135,3,858275783
6,140,4,858275917
6,141,5,858275452
7,3,3,1011208463
7,7,3,1011208220
7,11,4,1011207889
7,15,2,1011208732
7,16,3,1011205378
7,17,2,1011207676
7,24,3,1011207238
7,105,2,1011208366
7,122,2,1011208569
7,151,3,1011207965
8,1,4,833981871
8,3,5,833981733
8,6,3,833982631
8,10,4,833981834
8,19,1,833981918
8,21,4,833981710
8,39,3,833981963
8,47,5,833981896
8,48,4,833982197
8,110,5,833981870
8,150,4,833973081
8,153,3,833973175
10,1,4,943497887
10,11,4,943497660
10,25,4,943497660
11,1,4.5,1230858821
11,10,2.5,1230858959
11,19,3.5,1230783704
11,32,5,1230783095
11,39,4.5,1230859032
11,65,2,1230856649
11,110,4,1230853748
11,145,3,1230785947
11,150,5,1230785343
11,153,3.5,1230858914
12,1,4,859063718
12,3,3,859063774
12,5,2,859063774
12,6,3,859063774
12,7,3,859063774
12,17,3,859063719
12,32,3,859063717
12,34,4,859063997
12,36,4,859063774
12,95,3,859063719
12,104,4,859063825
12,110,4,859064062
13,1,4,849082891
13,2,3,849082742
13,10,3,849082472
13,11,4,849082685
13,19,3,849082571
13,32,5,849082617
13,34,1,849082541
13,39,3,849082617
13,47,5,849082518
13,95,4,849082891
13,110,5,849082472
13,150,5,849082366
13,153,3,849082393
14,1,4.5,1225311239
14,7,3.5,1225320254
14,17,5,1225309027
14,34,3,1225319900
14,62,4,1225320095
14,150,5,1225310931
15,10,2,840207465
15,11,3,840207537
15,14,2,840207366
15,17,3,840206835
15,21,3,840206835
15,34,4,840206835
15,36,3,840207537
15,39,3,840207039
15,50,3,840207617
15,141,3,840207366
15,150,4,840206642
15,153,2,840206704
16,1,3,990969772
16,6,3,990969532
16,39,4,990969977
16,122,4,990970136
17,6,4,978765863
17,110,4,978765863
19,1,5,855176628
19,3,4,855176684
19,6,5,855176684
19,7,5,855176684
19,14,4,855176723
19,17,4,855176628
19,25,3,855176628
19,32,2,855176627
19,55,3,855177136
19,61,4,855176926
19,62,5,855176628
19,67,3,855177339
19,74,4,855176849
19,76,3,855176882
19,79,3,855176772
19,86,5,855176926
19,88,4,855176926
19,92,3,855176926
19,95,3,855176628
19,100,4,855176806
19,101,3,855177162
19,112,5,855176684
19,135,4,855176773
19,141,5,855176628
20,16,4,1126539588
20,19,2.5,1126539530
20,111,4.5,1126539863
21,6,4,992189767
21,16,5,992190159
21,32,4,992189698
21,50,5,992188845
21,111,4,992188864
22,1,3,994638157
22,6,5,994638573
22,16,5,994638228
22,47,4,994638077
22,50,4,994637979
22,69,3,994638245
22,95,4,994638677
22,110,4,994636862
22,111,4,994636839
23,1,4,914458411
23,25,4,914458070
23,32,5,914458329
23,47,5,914458001
23,50,5,914457721
23,70,1,914458556
23,110,4,914458147
24,1,4,994230149
24,5,2,994233649
24,6,4,994232511
24,7,3,994233698
24,10,3,995097444
24,16,5,994230480
24,18,5,994233189
24,21,3,995096739
24,24,4,993974197
24,25,5,994230173
24,32,4,993972304
24,34,4,994071193
24,36,3,994230414
24,39,3,995096739
24,47,4,994071171
24,50,5,994071051
24,62,3,994232783
24,69,4,995096555
24,73,4,995096997
24,89,3,994233463
24,95,4,994233806
24,104,5,994232973
24,110,4,994230114
24,112,2,995097225
24,150,3,995096581
24,151,3,994232916
25,21,3.5,1277963666
25,22,4,1277961630
25,31,3,1277961679
25,32,3.5,1277963396
25,39,4.5,1277962345
25,47,3,1277962722
25,50,3.5,1277963417
25,104,2.5,1277963945
25,110,3.5,1277963349
25,111,3.5,1277963741
25,141,3.5,1277963657
26,10,3,839270709
26,19,3,839270773
26,21,4,839270773
26,22,3,839270953
26,39,4,839270792
26,47,4,839270753
26,50,5,839270792
26,110,4,839270731
26,150,4,839270563
26,153,3,839270633
27,11,4,1112243785
27,29,3,1112243971
27,47,4.5,1112243692
27,104,4,1112243198
28,150,1,834092660
29,2,3,835562174
29,9,4,835638645
29,11,4,835562132
29,15,4,835638411
29,16,4,835637764
29,19,3,835561955
29,20,4,835638446
29,21,3,835561903
29,22,3,835563354
29,23,4,835563407
29,24,3,835563407
29,31,4,835562404
29,32,3,835561955
29,34,4,835561903
29,42,3,835639823
29,44,3,835562304
29,46,3,835638644
29,47,4,835561904
29,50,4,835561955
29,57,3,835638681
29,60,4,835638082
29,70,4,835562695
29,93,3,835638530
29,104,4,835638362
29,110,5,835561836
29,112,4,835563407
29,122,3,835638190
29,132,3,835638411
29,135,3,835638681
29,145,4,835562770
29,147,3,835563354
29,150,4,835561519
29,151,3,835562132
29,153,3,835561594
29,157,3,835639070
30,5,2.5,1204791732
31,1,3,1424733487
31,110,5,1424733473
32,6,3,845962911
32,10,3,845962612
32,14,3,845963199
32,16,3,845962969
32,17,4,845962821
32,19,3,845962706
32,25,4,845962869
32,31,3,845962944
32,34,4,845962682
32,36,3,845962911
32,39,3,845962749
32,45,3,845963010
32,47,3,845962682
32,50,5,845962438
32,58,4,845963068
32,110,3,845962439
32,150,4,845962251
32,151,3,845962838
32,153,3,845962538
33,157,3,966285209
34,1,5,846509445
34,2,3,846509384
34,7,3,846510487
34,10,5,839249881
34,15,3,846510556
34,17,5,846509421
34,21,4,846003172
34,32,4,847124471
34,34,3,839249923
34,45,4,846510367
34,48,4,846511262
34,60,4,846510498
34,68,4,852036504
34,95,4,849524508
34,104,3,849524672
34,107,4,843573959
34,135,3,849524634
34,141,4,843573959
34,150,5,839249781
34,153,3,839249809
35,47,5,1164499265
35,50,5,1164499229
35,60,4,1164498353
35,107,4,1164498329
35,110,4.5,1164499196
35,111,5,1164501164
35,153,3,1164499242
36,145,3.5,1307410435
38,3,3,835718215
38,7,5,835885746
38,8,3,835885801
38,11,4,835718201
38,21,1,835717992
38,36,3,835885509
38,47,4,835717992
38,52,1,835885532
38,62,5,835718090
38,135,3,835718090
38,141,2,835885700
38,150,5,835717875
38,153,3,835717908
38,155,4,835886033
39,1,5,859325696
39,6,5,859325758
39,25,4,859325696
39,32,3,859325695
